instrument,instrument_annual_return,instrument_annual_volatility,instrument_sharpe,portfolio_annual_return,portfolio_annual_volatility,portfolio_sharpe
002573.SZ,-0.15,0.36,-0.28,0.83,0.36,1.84
002576.SZ,-0.09,0.51,0.07,1.32,0.48,1.98
002578.SZ,-0.06,0.42,0.07,1.09,0.42,1.96
002579.SZ,-0.02,0.49,0.2,1.26,0.46,1.99
002580.SZ,-0.04,0.48,0.16,1.25,0.46,1.99
002581.SZ,-0.14,0.55,0,1.35,0.49,1.98
002582.SZ,-0.05,0.41,0.09,1.04,0.41,1.96
002583.SZ,0.04,0.45,0.31,1.23,0.45,1.99
002584.SZ,-0.08,0.56,0.13,1.31,0.48,1.98
002585.SZ,-0.06,0.46,0.1,1.24,0.46,1.98
002587.SZ,-0.02,0.49,0.19,1.27,0.47,1.99
002588.SZ,-0.05,0.37,0.04,0.87,0.37,1.89
002590.SZ,0.01,0.51,0.28,1.24,0.46,2
002591.SZ,-0.1,0.51,0.04,1.35,0.49,1.98
002592.SZ,-0.27,0.5,-0.37,1.35,0.49,1.98
002593.SZ,-0.1,0.43,-0.03,1.13,0.43,1.96
002594.SZ,0.21,0.43,0.65,1.12,0.4,2.08
002595.SZ,0.11,0.33,0.47,0.85,0.33,2.03
002596.SZ,-0.14,0.5,-0.05,1.35,0.49,1.98
002597.SZ,0.11,0.43,0.46,1.17,0.43,2.02
002598.SZ,-0.03,0.45,0.15,1.19,0.45,1.98
002599.SZ,-0.03,0.51,0.2,1.28,0.47,1.99
002600.SZ,0.09,0.52,0.42,1.21,0.44,2.02
002601.SZ,0.13,0.44,0.5,1.16,0.42,2.04
002603.SZ,0.05,0.44,0.32,1.18,0.44,2
002606.SZ,0.04,0.49,0.33,1.2,0.44,2.01
002607.SZ,-0.07,0.55,0.15,1.28,0.47,1.99
002609.SZ,-0.09,0.46,0.03,1.24,0.46,1.98
002611.SZ,-0.04,0.47,0.15,1.27,0.47,1.98
002612.SZ,-0.02,0.51,0.22,1.27,0.47,1.99
002613.SZ,-0.05,0.49,0.14,1.31,0.48,1.98
002614.SZ,-0.08,0.46,0.04,1.24,0.46,1.98
002615.SZ,0.01,0.47,0.26,1.22,0.45,2
002616.SZ,-0.12,0.43,-0.08,1.1,0.43,1.95
002617.SZ,0,0.51,0.25,1.27,0.47,1.99
002620.SZ,-0.16,0.5,-0.09,1.35,0.49,1.98
002623.SZ,-0.08,0.52,0.1,1.31,0.48,1.98
002625.SZ,0,0.51,0.25,1.26,0.46,1.99
002626.SZ,0.03,0.48,0.3,1.24,0.46,2
002627.SZ,-0.05,0.36,0.03,0.87,0.36,1.92
002628.SZ,-0.06,0.41,0.05,1.05,0.41,1.95
002630.SZ,-0.1,0.47,0,1.25,0.47,1.98
002631.SZ,-0.16,0.47,-0.12,1.27,0.47,1.97
002632.SZ,0,0.45,0.22,1.21,0.45,1.98
002633.SZ,-0.12,0.44,-0.06,1.15,0.44,1.96
002634.SZ,-0.08,0.51,0.09,1.34,0.49,1.98
002635.SZ,0.03,0.48,0.3,1.27,0.46,1.99
002637.SZ,-0.01,0.43,0.2,1.15,0.43,1.99
002638.SZ,-0.14,0.45,-0.09,1.21,0.45,1.97
002639.SZ,-0.08,0.47,0.05,1.29,0.47,1.98
002640.SZ,-0.14,0.54,-0.02,1.35,0.49,1.98
002641.SZ,-0.05,0.41,0.06,1.03,0.41,1.95
002642.SZ,-0.16,0.53,-0.06,1.35,0.49,1.98
002644.SZ,-0.11,0.41,-0.09,1.03,0.41,1.93
002645.SZ,-0.05,0.53,0.18,1.27,0.47,1.99
002646.SZ,-0.1,0.42,-0.03,1.08,0.42,1.95
002648.SZ,0.18,0.47,0.59,1.15,0.41,2.07
002649.SZ,-0.05,0.46,0.11,1.23,0.46,1.98
002650.SZ,-0.12,0.42,-0.09,1.07,0.42,1.93
002653.SZ,0.06,0.44,0.34,1.15,0.42,2.02
002656.SZ,-0.22,0.49,-0.26,1.34,0.49,1.98
002657.SZ,-0.18,0.52,-0.12,1.35,0.49,1.98
002658.SZ,-0.13,0.45,-0.09,1.19,0.45,1.96
002659.SZ,-0.15,0.46,-0.12,1.24,0.46,1.97
002660.SZ,-0.04,0.5,0.16,1.28,0.47,1.99
002661.SZ,-0.03,0.37,0.09,0.89,0.37,1.91
002662.SZ,-0.08,0.5,0.08,1.32,0.48,1.98
002663.SZ,-0.19,0.41,-0.31,0.96,0.4,1.86
002664.SZ,-0.09,0.46,0.03,1.24,0.46,1.98
002666.SZ,-0.11,0.43,-0.06,1.11,0.43,1.96
002669.SZ,-0.11,0.48,0.01,1.29,0.48,1.98
002672.SZ,-0.15,0.35,-0.3,0.74,0.35,1.77
002673.SZ,-0.09,0.38,-0.05,0.95,0.38,1.93
002674.SZ,-0.05,0.45,0.1,1.19,0.45,1.98
002675.SZ,-0.02,0.42,0.17,1.12,0.42,1.99
002676.SZ,-0.03,0.51,0.2,1.3,0.48,1.98
002678.SZ,-0.13,0.39,-0.16,0.92,0.39,1.87
002679.SZ,-0.06,0.53,0.15,1.29,0.47,1.98
002681.SZ,-0.11,0.5,0.02,1.35,0.49,1.98
002682.SZ,-0.11,0.48,0,1.32,0.48,1.98
002685.SZ,-0.08,0.48,0.07,1.3,0.48,1.98
002687.SZ,-0.04,0.43,0.11,1.14,0.43,1.97
002688.SZ,-0.04,0.41,0.12,1.06,0.41,1.96
002689.SZ,-0.13,0.51,-0.03,1.35,0.49,1.98
002690.SZ,-0.03,0.4,0.14,1.05,0.4,1.97
002691.SZ,-0.09,0.49,0.05,1.3,0.48,1.98
002692.SZ,-0.08,0.44,0.03,1.14,0.44,1.96
002693.SZ,0.08,0.52,0.4,1.23,0.45,2.01
002694.SZ,-0.09,0.48,0.04,1.31,0.48,1.98
002695.SZ,-0.03,0.45,0.16,1.2,0.45,1.99
002696.SZ,-0.07,0.45,0.06,1.2,0.45,1.98
002697.SZ,-0.04,0.37,0.06,0.88,0.37,1.89
002698.SZ,-0.03,0.4,0.13,1.03,0.4,1.96
002700.SZ,-0.06,0.42,0.05,1.08,0.42,1.97
002701.SZ,-0.08,0.32,-0.09,0.68,0.32,1.79
002705.SZ,0.06,0.43,0.35,1.18,0.43,2.01
002706.SZ,0,0.44,0.22,1.18,0.44,1.99
002707.SZ,-0.1,0.49,0.04,1.32,0.48,1.98
002708.SZ,-0.04,0.56,0.21,1.28,0.47,1.99
002709.SZ,0.22,0.55,0.64,1.19,0.42,2.07
002712.SZ,-0.1,0.5,0.03,1.35,0.49,1.98
002713.SZ,-0.16,0.53,-0.07,1.35,0.49,1.98
002714.SZ,0.23,0.45,0.69,1.16,0.41,2.06
002715.SZ,-0.09,0.48,0.05,1.29,0.47,1.98
002717.SZ,-0.11,0.52,0.03,1.34,0.49,1.98
002718.SZ,-0.1,0.44,-0.03,1.15,0.44,1.96
002722.SZ,-0.05,0.46,0.12,1.25,0.46,1.98
002723.SZ,-0.09,0.54,0.09,1.35,0.49,1.98
002724.SZ,-0.1,0.46,0,1.23,0.46,1.98
002725.SZ,-0.03,0.54,0.21,1.26,0.46,1.99
002726.SZ,0.01,0.41,0.23,1.07,0.41,1.98
002727.SZ,-0.08,0.43,0.03,1.11,0.43,1.96
002728.SZ,-0.04,0.46,0.15,1.23,0.46,1.99
002729.SZ,-0.08,0.47,0.06,1.29,0.47,1.98
002731.SZ,-0.09,0.47,0.04,1.28,0.47,1.98
002732.SZ,-0.06,0.4,0.03,1,0.4,1.95
002733.SZ,-0.04,0.51,0.19,1.27,0.47,1.99
002734.SZ,-0.07,0.39,0.02,0.96,0.39,1.93
002735.SZ,-0.02,0.48,0.19,1.3,0.48,1.98
002736.SZ,-0.04,0.33,0.05,0.78,0.33,1.89
002737.SZ,0.01,0.38,0.21,0.97,0.38,1.96
002738.SZ,0.12,0.53,0.48,1.24,0.45,2.01
002739.SZ,-0.18,0.39,-0.31,0.91,0.39,1.85
002741.SZ,-0.02,0.49,0.21,1.25,0.46,1.99
002742.SZ,-0.12,0.46,-0.04,1.22,0.46,1.97
002743.SZ,-0.13,0.43,-0.11,1.12,0.43,1.95
002745.SZ,-0.08,0.42,0.01,1.08,0.42,1.96
002746.SZ,-0.03,0.45,0.15,1.21,0.45,1.99
002747.SZ,0.05,0.53,0.36,1.23,0.45,2.01
002748.SZ,-0.1,0.51,0.05,1.35,0.49,1.98
002749.SZ,0.01,0.4,0.22,1.04,0.4,1.99
002750.SZ,-0.21,0.57,-0.13,1.35,0.49,1.98
002752.SZ,-0.13,0.41,-0.14,1.02,0.41,1.92
002753.SZ,-0.06,0.45,0.09,1.2,0.45,1.98
002755.SZ,-0.05,0.5,0.15,1.3,0.48,1.98
002756.SZ,0.1,0.5,0.44,1.23,0.45,2.01
002757.SZ,0,0.45,0.22,1.22,0.45,1.99
002758.SZ,-0.05,0.46,0.11,1.22,0.46,1.98
002759.SZ,-0.11,0.55,0.05,1.35,0.49,1.98
002760.SZ,-0.09,0.47,0.04,1.28,0.47,1.98
002761.SZ,-0.06,0.53,0.15,1.25,0.46,1.99
002762.SZ,-0.13,0.52,-0.01,1.35,0.49,1.98
002763.SZ,-0.08,0.39,-0.02,0.94,0.39,1.91
002765.SZ,-0.11,0.49,0,1.34,0.49,1.98
002766.SZ,-0.11,0.53,0.05,1.35,0.49,1.98
002767.SZ,-0.08,0.49,0.08,1.32,0.49,1.98
002768.SZ,0.04,0.44,0.31,1.21,0.44,2
002769.SZ,-0.14,0.52,-0.03,1.35,0.49,1.98
002771.SZ,-0.01,0.58,0.26,1.28,0.47,1.99
002772.SZ,-0.1,0.45,-0.01,1.2,0.45,1.97
002773.SZ,-0.06,0.41,0.06,1.05,0.41,1.95
002775.SZ,-0.1,0.43,-0.02,1.11,0.43,1.96
300001.SZ,0,0.48,0.24,1.21,0.44,2
300002.SZ,-0.02,0.54,0.23,1.24,0.46,2
300003.SZ,-0.04,0.41,0.1,1.06,0.41,1.97
300004.SZ,-0.15,0.51,-0.08,1.35,0.49,1.98
300005.SZ,-0.1,0.47,0,1.27,0.47,1.98
300006.SZ,-0.09,0.49,0.05,1.33,0.49,1.98
300009.SZ,0.06,0.44,0.34,1.18,0.43,2.01
300012.SZ,0.12,0.42,0.48,1.11,0.4,2.05
300013.SZ,-0.16,0.56,-0.03,1.35,0.49,1.98
300015.SZ,0.17,0.42,0.59,1.12,0.4,2.06
300016.SZ,-0.11,0.46,-0.03,1.23,0.46,1.97
300017.SZ,-0.06,0.47,0.11,1.29,0.47,1.98
300018.SZ,-0.1,0.54,0.08,1.3,0.48,1.98
300019.SZ,0.03,0.52,0.31,1.24,0.45,2
300020.SZ,-0.23,0.52,-0.24,1.35,0.49,1.98
300021.SZ,-0.04,0.43,0.13,1.14,0.43,1.98
300022.SZ,-0.1,0.52,0.07,1.35,0.49,1.98
300024.SZ,-0.11,0.44,-0.06,1.15,0.44,1.96
300025.SZ,-0.01,0.54,0.24,1.28,0.47,1.99
300026.SZ,-0.05,0.43,0.1,1.15,0.43,1.98
300029.SZ,-0.12,0.57,0.05,1.32,0.48,1.98
300032.SZ,-0.22,0.53,-0.21,1.35,0.49,1.98
300033.SZ,0.15,0.55,0.52,1.21,0.44,2.03
300034.SZ,0.03,0.5,0.31,1.22,0.45,2
300035.SZ,0.08,0.54,0.4,1.2,0.44,2.02
300036.SZ,0.02,0.51,0.28,1.27,0.47,1.99
300037.SZ,0.18,0.53,0.57,1.18,0.42,2.05
300039.SZ,-0.07,0.46,0.06,1.23,0.46,1.98
300040.SZ,-0.01,0.51,0.23,1.25,0.46,1.99
300041.SZ,-0.02,0.46,0.2,1.25,0.46,1.99
300042.SZ,-0.02,0.57,0.25,1.26,0.46,1.99
300043.SZ,-0.17,0.51,-0.11,1.35,0.49,1.98
300044.SZ,-0.06,0.61,0.2,1.28,0.47,1.99
300045.SZ,0.05,0.58,0.37,1.25,0.46,2.01
300046.SZ,0.1,0.59,0.45,1.22,0.44,2.03
300047.SZ,0.03,0.55,0.33,1.25,0.46,2
300049.SZ,0.05,0.55,0.36,1.21,0.44,2.02
300050.SZ,-0.06,0.56,0.17,1.26,0.46,1.99
300053.SZ,-0.01,0.54,0.24,1.26,0.46,1.99
300054.SZ,0.12,0.47,0.47,1.19,0.43,2.02
300055.SZ,-0.16,0.46,-0.15,1.2,0.46,1.96
300057.SZ,-0.11,0.47,-0.01,1.27,0.47,1.98
300059.SZ,0.14,0.48,0.52,1.18,0.43,2.04
300061.SZ,0.04,0.65,0.38,1.25,0.45,2.01
300063.SZ,-0.06,0.57,0.17,1.3,0.48,1.98
300065.SZ,-0.04,0.54,0.2,1.22,0.45,2
300066.SZ,-0.03,0.47,0.18,1.27,0.47,1.99
300067.SZ,-0.03,0.5,0.18,1.31,0.48,1.98
300068.SZ,0.03,0.52,0.31,1.22,0.45,2.01
300069.SZ,-0.07,0.53,0.14,1.3,0.48,1.98
300070.SZ,-0.14,0.38,-0.22,0.88,0.38,1.87
300072.SZ,-0.15,0.49,-0.07,1.35,0.49,1.98
300073.SZ,0.14,0.58,0.52,1.21,0.44,2.04
300074.SZ,-0.12,0.51,0,1.35,0.49,1.98
300075.SZ,-0.04,0.56,0.2,1.26,0.46,1.99
300076.SZ,-0.1,0.56,0.08,1.3,0.48,1.98
300077.SZ,0.05,0.58,0.37,1.24,0.45,2.01
300078.SZ,-0.16,0.55,-0.04,1.35,0.49,1.98
300079.SZ,-0.06,0.55,0.16,1.27,0.47,1.99
300080.SZ,-0.1,0.49,0.04,1.31,0.48,1.98
300081.SZ,-0.08,0.62,0.17,1.25,0.46,1.99
300082.SZ,0,0.53,0.25,1.26,0.46,1.99
300083.SZ,0,0.55,0.28,1.26,0.46,1.99
300084.SZ,-0.07,0.5,0.1,1.29,0.48,1.98
300085.SZ,0.02,0.61,0.33,1.26,0.46,2
300086.SZ,-0.12,0.53,0.01,1.34,0.49,1.98
300088.SZ,0.03,0.48,0.29,1.24,0.45,2
300091.SZ,-0.11,0.52,0.04,1.3,0.48,1.98
300092.SZ,0,0.5,0.25,1.28,0.47,1.99
300095.SZ,-0.04,0.49,0.17,1.26,0.46,1.99
300097.SZ,-0.11,0.6,0.11,1.28,0.47,1.99
300098.SZ,-0.04,0.55,0.19,1.24,0.46,2
300100.SZ,0.04,0.58,0.35,1.23,0.45,2.01
300101.SZ,-0.04,0.54,0.19,1.29,0.47,1.99
300102.SZ,0.01,0.54,0.29,1.24,0.45,2
300103.SZ,-0.06,0.52,0.15,1.29,0.47,1.99
300105.SZ,-0.04,0.5,0.16,1.24,0.46,1.99
300106.SZ,-0.07,0.57,0.16,1.29,0.47,1.98
300107.SZ,0.07,0.55,0.39,1.22,0.44,2.02
300110.SZ,-0.09,0.44,0.01,1.15,0.44,1.97
300111.SZ,-0.1,0.43,-0.02,1.13,0.43,1.97
300113.SZ,-0.02,0.55,0.23,1.24,0.46,2
300114.SZ,0.16,0.52,0.55,1.17,0.42,2.06
300115.SZ,-0.03,0.52,0.21,1.26,0.46,1.99
300117.SZ,-0.13,0.63,0.09,1.33,0.49,1.98
300118.SZ,0,0.55,0.27,1.23,0.45,2
300119.SZ,0.01,0.47,0.24,1.25,0.46,1.99
300120.SZ,-0.01,0.55,0.25,1.28,0.47,1.99
300121.SZ,0.03,0.44,0.28,1.2,0.44,2
300122.SZ,0.17,0.53,0.56,1.18,0.42,2.05
300124.SZ,0.16,0.42,0.56,1.11,0.4,2.06
300125.SZ,-0.09,0.58,0.13,1.31,0.48,1.98
300126.SZ,-0.15,0.5,-0.07,1.35,0.49,1.98
300127.SZ,0.04,0.52,0.34,1.22,0.44,2.01
300129.SZ,0,0.48,0.25,1.25,0.46,1.99
300130.SZ,0.08,0.54,0.42,1.23,0.45,2.01
300132.SZ,-0.09,0.47,0.04,1.29,0.47,1.98
300133.SZ,-0.1,0.49,0.03,1.34,0.49,1.98
300136.SZ,0.04,0.5,0.33,1.23,0.45,2
300137.SZ,-0.08,0.47,0.05,1.26,0.47,1.98
300138.SZ,0.03,0.4,0.27,1.03,0.4,1.98
300139.SZ,0.02,0.6,0.34,1.26,0.46,2
300140.SZ,-0.18,0.54,-0.11,1.35,0.49,1.98
300141.SZ,-0.05,0.6,0.21,1.26,0.46,1.99
300144.SZ,-0.03,0.41,0.14,1.07,0.41,1.98
300145.SZ,-0.08,0.41,0.01,1.04,0.41,1.96
300146.SZ,0,0.39,0.18,0.98,0.39,1.96
300147.SZ,-0.1,0.52,0.04,1.3,0.48,1.98
300148.SZ,-0.14,0.54,-0.01,1.35,0.49,1.98
300151.SZ,0.02,0.52,0.31,1.21,0.44,2.01
300152.SZ,-0.1,0.63,0.15,1.31,0.48,1.98
300153.SZ,-0.05,0.59,0.21,1.27,0.46,1.99
300154.SZ,-0.04,0.42,0.12,1.11,0.42,1.98
300155.SZ,-0.14,0.54,-0.01,1.35,0.49,1.98
300159.SZ,-0.19,0.59,-0.06,1.35,0.49,1.98
300160.SZ,0.01,0.54,0.29,1.22,0.45,2.01
300162.SZ,-0.12,0.57,0.05,1.35,0.49,1.98
300165.SZ,-0.11,0.58,0.08,1.27,0.47,1.99
300166.SZ,-0.08,0.51,0.09,1.3,0.48,1.98
300167.SZ,-0.28,0.59,-0.25,1.35,0.49,1.98
300168.SZ,-0.16,0.53,-0.07,1.35,0.49,1.98
300170.SZ,-0.09,0.52,0.09,1.3,0.48,1.98
300171.SZ,-0.07,0.51,0.11,1.27,0.47,1.99
300172.SZ,-0.04,0.47,0.15,1.26,0.46,1.99
300173.SZ,-0.17,0.52,-0.09,1.35,0.49,1.98
300174.SZ,0.03,0.47,0.29,1.22,0.45,2
300175.SZ,-0.06,0.57,0.17,1.3,0.48,1.98
300176.SZ,-0.02,0.55,0.24,1.27,0.46,1.99
300177.SZ,0,0.52,0.25,1.26,0.46,1.99
300179.SZ,0.01,0.52,0.27,1.24,0.45,2
300180.SZ,0.07,0.44,0.37,1.19,0.44,2.01
300182.SZ,-0.08,0.54,0.11,1.3,0.48,1.98
300183.SZ,-0.03,0.51,0.2,1.25,0.46,1.99
300185.SZ,-0.03,0.42,0.15,1.1,0.42,1.98
300192.SZ,0.03,0.58,0.34,1.25,0.46,2
300193.SZ,0,0.41,0.21,1.09,0.41,2
300194.SZ,-0.03,0.45,0.14,1.2,0.45,1.99
300196.SZ,-0.02,0.4,0.16,1.02,0.4,1.96
300198.SZ,-0.12,0.52,0.02,1.32,0.48,1.98
300199.SZ,-0.08,0.61,0.17,1.29,0.47,1.99
300200.SZ,0.03,0.48,0.29,1.21,0.45,2
300201.SZ,-0.06,0.5,0.13,1.28,0.47,1.98
300203.SZ,-0.05,0.5,0.14,1.28,0.47,1.98
300204.SZ,-0.11,0.56,0.07,1.32,0.48,1.98
300205.SZ,-0.12,0.56,0.04,1.32,0.48,1.98
300206.SZ,0.04,0.47,0.32,1.21,0.44,2.01
300207.SZ,0.08,0.52,0.4,1.23,0.45,2.01
300208.SZ,-0.25,0.63,-0.15,1.35,0.49,1.98
300210.SZ,0.03,0.59,0.34,1.25,0.46,2
300211.SZ,-0.04,0.56,0.21,1.26,0.46,1.99
300212.SZ,0.02,0.57,0.32,1.23,0.45,2.01
300213.SZ,-0.06,0.52,0.14,1.31,0.48,1.98
300214.SZ,-0.05,0.39,0.07,0.98,0.39,1.95
300215.SZ,-0.05,0.49,0.14,1.29,0.47,1.98
300217.SZ,0.03,0.51,0.32,1.21,0.45,2.01
300218.SZ,0.03,0.49,0.3,1.24,0.45,2
300219.SZ,-0.05,0.49,0.15,1.28,0.47,1.99
300220.SZ,-0.14,0.57,0.02,1.35,0.49,1.98
300221.SZ,-0.09,0.55,0.11,1.32,0.48,1.98
300222.SZ,-0.09,0.51,0.06,1.34,0.49,1.98
300223.SZ,0.15,0.59,0.53,1.21,0.43,2.05
300224.SZ,-0.05,0.51,0.15,1.25,0.46,1.99
300225.SZ,0,0.57,0.28,1.27,0.47,1.99
300226.SZ,0.01,0.51,0.27,1.26,0.46,1.99
300227.SZ,-0.05,0.47,0.12,1.28,0.47,1.98
300228.SZ,-0.11,0.55,0.06,1.32,0.48,1.98
300229.SZ,-0.01,0.57,0.26,1.27,0.46,1.99
300230.SZ,-0.03,0.43,0.14,1.15,0.43,1.98
300231.SZ,-0.03,0.5,0.19,1.28,0.47,1.99
300232.SZ,0,0.47,0.23,1.27,0.47,1.99
300233.SZ,-0.09,0.48,0.04,1.29,0.47,1.98
300234.SZ,-0.08,0.52,0.1,1.29,0.48,1.98
300235.SZ,-0.06,0.57,0.16,1.29,0.47,1.99
300236.SZ,0.1,0.55,0.45,1.2,0.44,2.03
300237.SZ,-0.13,0.51,-0.01,1.35,0.49,1.98
300238.SZ,-0.12,0.53,0.03,1.35,0.49,1.98
300239.SZ,-0.03,0.48,0.17,1.26,0.46,1.99
300240.SZ,-0.04,0.52,0.19,1.26,0.46,1.99
300241.SZ,-0.03,0.52,0.2,1.28,0.47,1.99
300242.SZ,-0.13,0.58,0.04,1.33,0.49,1.98
300243.SZ,-0.03,0.49,0.19,1.28,0.47,1.99
300244.SZ,-0.11,0.44,-0.06,1.16,0.44,1.97
300245.SZ,-0.08,0.52,0.11,1.29,0.47,1.98
300246.SZ,-0.11,0.5,0.02,1.33,0.49,1.98
300247.SZ,-0.08,0.48,0.07,1.29,0.47,1.98
300248.SZ,-0.07,0.58,0.16,1.28,0.47,1.99
300249.SZ,-0.01,0.57,0.27,1.24,0.46,2
300251.SZ,-0.04,0.46,0.13,1.25,0.46,1.99
300252.SZ,-0.1,0.55,0.09,1.27,0.47,1.99
300253.SZ,-0.06,0.5,0.13,1.28,0.47,1.99
300254.SZ,-0.1,0.54,0.08,1.31,0.48,1.98
300255.SZ,0.07,0.52,0.39,1.22,0.44,2.01
300256.SZ,-0.07,0.58,0.17,1.3,0.48,1.98
300257.SZ,-0.12,0.42,-0.08,1.08,0.42,1.94
300258.SZ,-0.01,0.44,0.2,1.17,0.44,1.99
300259.SZ,-0.05,0.43,0.1,1.14,0.43,1.98
300260.SZ,0.15,0.6,0.54,1.2,0.42,2.07
300261.SZ,0,0.57,0.28,1.26,0.46,2
300264.SZ,-0.03,0.65,0.27,1.25,0.46,2
300265.SZ,-0.06,0.54,0.15,1.31,0.48,1.98
300267.SZ,-0.18,0.46,-0.21,1.23,0.46,1.96
300268.SZ,-0.15,0.58,0.01,1.35,0.49,1.98
300270.SZ,-0.1,0.56,0.08,1.32,0.48,1.98
300271.SZ,-0.11,0.49,0,1.32,0.48,1.98
300274.SZ,0.28,0.58,0.72,1.2,0.42,2.09
300275.SZ,-0.03,0.55,0.22,1.3,0.48,1.98
300276.SZ,-0.12,0.5,-0.02,1.33,0.49,1.98
300277.SZ,0,0.58,0.29,1.22,0.45,2.01
300281.SZ,-0.08,0.49,0.08,1.28,0.47,1.98
300283.SZ,-0.03,0.5,0.2,1.2,0.44,2
300284.SZ,0.01,0.45,0.24,1.22,0.45,1.99
300285.SZ,0.07,0.44,0.37,1.19,0.44,2.01
300286.SZ,0.03,0.53,0.32,1.23,0.45,2
300288.SZ,-0.13,0.55,0.02,1.33,0.49,1.98
300289.SZ,-0.14,0.46,-0.1,1.23,0.46,1.97
300290.SZ,0.08,0.6,0.42,1.22,0.44,2.02
300291.SZ,-0.19,0.5,-0.17,1.35,0.49,1.98
300292.SZ,-0.05,0.51,0.15,1.29,0.47,1.98
300293.SZ,0.03,0.63,0.36,1.23,0.45,2.02
300295.SZ,-0.08,0.56,0.13,1.25,0.46,1.99
300298.SZ,0.07,0.48,0.37,1.21,0.45,2.01
300301.SZ,-0.18,0.53,-0.11,1.35,0.49,1.98
300302.SZ,-0.02,0.59,0.25,1.26,0.46,2
300303.SZ,0,0.48,0.23,1.25,0.46,1.99
300304.SZ,0.05,0.52,0.35,1.23,0.45,2
300305.SZ,-0.07,0.47,0.08,1.27,0.47,1.98
300306.SZ,-0.04,0.51,0.18,1.27,0.47,1.99
300307.SZ,-0.06,0.51,0.13,1.29,0.47,1.98
300308.SZ,0.41,0.56,0.89,1.2,0.4,2.16
300311.SZ,-0.08,0.61,0.16,1.3,0.47,1.99
300313.SZ,-0.11,0.68,0.17,1.32,0.48,1.98
300314.SZ,-0.07,0.52,0.13,1.3,0.48,1.98
300318.SZ,-0.07,0.56,0.15,1.26,0.46,1.99
300319.SZ,0.02,0.51,0.29,1.24,0.46,2
300320.SZ,0.05,0.51,0.36,1.22,0.45,2.01
300321.SZ,-0.07,0.46,0.08,1.25,0.46,1.98
300324.SZ,-0.12,0.52,0.02,1.35,0.49,1.98
300326.SZ,-0.12,0.42,-0.09,1.08,0.42,1.94
300327.SZ,0.13,0.52,0.5,1.18,0.43,2.04
300328.SZ,-0.06,0.54,0.16,1.26,0.46,1.99
300329.SZ,-0.1,0.52,0.07,1.3,0.48,1.98
300331.SZ,0.02,0.56,0.3,1.25,0.46,2
300332.SZ,-0.08,0.47,0.05,1.25,0.47,1.98
300333.SZ,-0.09,0.58,0.12,1.28,0.47,1.99
300334.SZ,-0.14,0.55,-0.01,1.34,0.49,1.98
300335.SZ,-0.11,0.45,-0.03,1.2,0.45,1.97
300337.SZ,0.06,0.59,0.39,1.22,0.44,2.02
300338.SZ,-0.18,0.62,-0.02,1.35,0.49,1.98
300339.SZ,0.16,0.61,0.54,1.21,0.43,2.05
300340.SZ,-0.05,0.6,0.21,1.27,0.47,1.99
300341.SZ,0.08,0.53,0.41,1.21,0.44,2.02
300342.SZ,0.02,0.56,0.31,1.23,0.45,2
300344.SZ,-0.03,0.57,0.22,1.27,0.46,1.99
300345.SZ,-0.09,0.55,0.11,1.31,0.48,1.98
300347.SZ,0.12,0.5,0.47,1.18,0.43,2.03
300348.SZ,0.03,0.56,0.33,1.24,0.45,2
300349.SZ,-0.06,0.41,0.04,1.03,0.41,1.95
300350.SZ,-0.11,0.59,0.09,1.32,0.48,1.98
300351.SZ,-0.06,0.53,0.15,1.26,0.46,1.99
300354.SZ,0.03,0.55,0.33,1.22,0.45,2.01
300355.SZ,0.01,0.49,0.26,1.22,0.45,2
300357.SZ,0.06,0.45,0.36,1.21,0.44,2.01
300358.SZ,-0.11,0.5,0.02,1.3,0.48,1.98
300359.SZ,-0.19,0.53,-0.13,1.35,0.49,1.98
300364.SZ,0,0.68,0.33,1.26,0.46,2
300365.SZ,-0.03,0.52,0.2,1.26,0.46,1.99
300366.SZ,-0.01,0.63,0.3,1.25,0.46,2
300368.SZ,-0.14,0.62,0.07,1.34,0.49,1.98
300369.SZ,-0.08,0.53,0.1,1.34,0.49,1.98
300370.SZ,-0.06,0.56,0.17,1.27,0.47,1.99
300371.SZ,-0.03,0.5,0.19,1.26,0.46,1.99
300373.SZ,0.13,0.54,0.49,1.19,0.43,2.04
300374.SZ,-0.01,0.6,0.28,1.29,0.47,1.99
300375.SZ,-0.05,0.5,0.15,1.28,0.47,1.98
300376.SZ,-0.04,0.55,0.19,1.25,0.46,1.99
300377.SZ,0,0.58,0.3,1.25,0.46,2
300378.SZ,-0.04,0.59,0.21,1.28,0.47,1.99
300379.SZ,0,0.59,0.29,1.25,0.46,2
300380.SZ,-0.04,0.57,0.21,1.28,0.47,1.99
300381.SZ,-0.08,0.48,0.05,1.3,0.48,1.98
300382.SZ,0.02,0.52,0.3,1.22,0.45,2.01
300384.SZ,-0.05,0.5,0.15,1.28,0.47,1.98
300385.SZ,-0.14,0.49,-0.07,1.35,0.49,1.98
300386.SZ,-0.03,0.59,0.23,1.31,0.48,1.98
300387.SZ,-0.07,0.47,0.08,1.27,0.47,1.98
300389.SZ,-0.03,0.53,0.21,1.3,0.48,1.99
300390.SZ,0.19,0.61,0.59,1.21,0.43,2.06
300391.SZ,-0.12,0.59,0.08,1.34,0.49,1.98
300393.SZ,-0.01,0.57,0.26,1.24,0.45,2
