instrument,instrument_annual_return,instrument_annual_volatility,instrument_sharpe,portfolio_annual_return,portfolio_annual_volatility,portfolio_sharpe
002155.SZ,0.06,0.42,0.36,1.13,0.42,1.99
002157.SZ,-0.08,0.5,0.08,1.35,0.49,1.98
002158.SZ,0.08,0.5,0.4,1.22,0.45,2.01
002159.SZ,-0.06,0.43,0.06,1.11,0.43,1.97
002160.SZ,-0.11,0.48,-0.01,1.29,0.48,1.98
002161.SZ,-0.15,0.52,-0.05,1.33,0.49,1.98
002162.SZ,-0.09,0.48,0.03,1.31,0.48,1.98
002163.SZ,-0.07,0.48,0.09,1.32,0.48,1.98
002164.SZ,-0.09,0.52,0.07,1.34,0.49,1.98
002165.SZ,-0.08,0.43,0.02,1.12,0.43,1.96
002167.SZ,-0.07,0.48,0.09,1.29,0.47,1.98
002168.SZ,-0.19,0.48,-0.19,1.3,0.48,1.97
002169.SZ,-0.05,0.51,0.15,1.27,0.47,1.99
002170.SZ,-0.08,0.45,0.04,1.19,0.45,1.97
002171.SZ,-0.03,0.44,0.15,1.16,0.44,1.98
002172.SZ,-0.14,0.5,-0.04,1.35,0.49,1.98
002173.SZ,-0.1,0.5,0.05,1.33,0.49,1.98
002175.SZ,-0.22,0.53,-0.21,1.35,0.49,1.98
002177.SZ,-0.12,0.54,0.04,1.35,0.49,1.98
002178.SZ,-0.1,0.54,0.07,1.33,0.49,1.98
002179.SZ,0.14,0.39,0.53,1.05,0.39,2.05
002180.SZ,0.01,0.45,0.25,1.23,0.45,1.99
002181.SZ,-0.12,0.48,-0.03,1.32,0.48,1.98
002182.SZ,0.1,0.49,0.44,1.2,0.44,2.02
002184.SZ,-0.09,0.54,0.09,1.34,0.49,1.98
002185.SZ,0.05,0.44,0.34,1.2,0.44,2
002186.SZ,-0.1,0.36,-0.1,0.83,0.36,1.85
002187.SZ,-0.13,0.39,-0.16,0.93,0.39,1.89
002188.SZ,-0.2,0.5,-0.2,1.35,0.49,1.98
002189.SZ,-0.01,0.51,0.23,1.25,0.46,1.99
002190.SZ,-0.12,0.44,-0.06,1.16,0.44,1.96
002192.SZ,0.07,0.59,0.41,1.22,0.44,2.02
002193.SZ,-0.13,0.48,-0.06,1.3,0.48,1.98
002194.SZ,-0.03,0.52,0.2,1.28,0.47,1.99
002195.SZ,-0.07,0.43,0.04,1.14,0.43,1.96
002196.SZ,-0.12,0.5,-0.01,1.35,0.49,1.98
002197.SZ,-0.17,0.51,-0.12,1.35,0.49,1.98
002198.SZ,-0.06,0.44,0.07,1.17,0.44,1.98
002200.SZ,-0.13,0.41,-0.15,1.02,0.41,1.93
002201.SZ,-0.03,0.52,0.2,1.27,0.47,1.99
002202.SZ,-0.01,0.41,0.17,1.08,0.41,1.99
002204.SZ,-0.02,0.41,0.17,1.07,0.41,1.98
002205.SZ,-0.09,0.52,0.08,1.32,0.48,1.98
002206.SZ,-0.01,0.4,0.18,1.02,0.4,1.96
002208.SZ,-0.05,0.49,0.14,1.28,0.47,1.98
002209.SZ,-0.08,0.46,0.04,1.23,0.46,1.98
002213.SZ,-0.04,0.52,0.19,1.25,0.46,1.99
002215.SZ,-0.07,0.4,0.03,1.01,0.4,1.94
002216.SZ,0,0.4,0.21,1.04,0.4,1.98
002218.SZ,-0.05,0.47,0.13,1.26,0.47,1.98
002221.SZ,-0.07,0.4,0.03,1,0.4,1.93
002222.SZ,0.12,0.48,0.47,1.16,0.42,2.04
002223.SZ,0.05,0.39,0.32,1.04,0.39,2.01
002225.SZ,-0.09,0.37,-0.06,0.91,0.37,1.92
002227.SZ,-0.13,0.5,-0.03,1.35,0.49,1.98
002229.SZ,-0.02,0.58,0.25,1.27,0.46,1.99
002230.SZ,0.08,0.46,0.39,1.21,0.44,2.01
002231.SZ,-0.11,0.53,0.05,1.32,0.48,1.98
002232.SZ,0.01,0.54,0.3,1.24,0.45,2
002233.SZ,-0.04,0.37,0.09,0.9,0.37,1.93
002234.SZ,-0.06,0.5,0.13,1.31,0.48,1.98
002236.SZ,0.02,0.44,0.25,1.18,0.44,1.99
002237.SZ,0,0.42,0.22,1.09,0.42,1.97
002241.SZ,0.05,0.49,0.35,1.18,0.43,2.02
002242.SZ,-0.08,0.4,0,0.99,0.4,1.93
002243.SZ,-0.07,0.51,0.12,1.27,0.47,1.99
002244.SZ,0.02,0.41,0.24,1.07,0.4,2
002245.SZ,0.01,0.51,0.27,1.27,0.47,1.99
002246.SZ,-0.03,0.47,0.17,1.26,0.46,1.99
002249.SZ,-0.09,0.42,-0.01,1.1,0.42,1.96
002250.SZ,-0.14,0.38,-0.22,0.88,0.38,1.86
002251.SZ,-0.19,0.43,-0.29,1.07,0.43,1.91
002252.SZ,-0.12,0.32,-0.26,0.63,0.32,1.7
002253.SZ,-0.07,0.5,0.11,1.31,0.48,1.98
002254.SZ,-0.04,0.36,0.08,0.86,0.36,1.9
002255.SZ,-0.1,0.44,-0.02,1.15,0.44,1.97
002256.SZ,-0.08,0.55,0.12,1.3,0.48,1.98
002258.SZ,0.01,0.44,0.24,1.18,0.44,2
002259.SZ,-0.15,0.4,-0.19,1,0.4,1.92
002261.SZ,0.02,0.55,0.3,1.24,0.45,2
002262.SZ,0.08,0.4,0.39,1.06,0.4,2.02
002264.SZ,-0.07,0.49,0.1,1.31,0.48,1.98
002265.SZ,-0.06,0.52,0.14,1.29,0.48,1.98
002266.SZ,-0.11,0.34,-0.18,0.73,0.34,1.78
002267.SZ,-0.05,0.3,-0.02,0.61,0.3,1.75
002268.SZ,-0.09,0.5,0.07,1.35,0.49,1.98
002269.SZ,-0.2,0.5,-0.19,1.35,0.49,1.98
002270.SZ,0.05,0.47,0.34,1.19,0.44,2.01
002271.SZ,0.07,0.45,0.37,1.2,0.44,2.01
002273.SZ,0.08,0.49,0.39,1.2,0.44,2.02
002274.SZ,0.02,0.45,0.27,1.22,0.45,1.99
002275.SZ,-0.01,0.33,0.12,0.76,0.33,1.89
002276.SZ,-0.14,0.45,-0.11,1.17,0.45,1.96
002277.SZ,-0.11,0.41,-0.08,1.05,0.41,1.94
002279.SZ,-0.09,0.52,0.08,1.32,0.48,1.98
002281.SZ,0.11,0.49,0.46,1.2,0.44,2.02
